,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,28,AU,1582092503,14,-33.65,115.33,93.99,14.72
1,Ushuaia,75,AR,1582092432,81,-54.8,-68.3,46.4,28.86
2,Avarua,100,CK,1582092497,83,-21.21,-159.78,80.6,8.05
3,Vaini,40,TO,1582092513,78,-21.2,-175.2,78.8,8.05
4,Coos Bay,1,US,1582092549,93,43.37,-124.22,44.01,6.44
5,Aktobe,86,KZ,1582092550,73,50.28,57.21,24.8,20.13
6,Ulaanbaatar,75,MN,1582092495,52,47.91,106.88,19.4,4.81
7,Kapaa,75,US,1582091960,78,22.08,-159.32,75.2,23.04
8,George Town,20,MY,1582092432,66,5.41,100.34,89.6,3.36
9,Qaanaaq,61,GL,1582092557,66,77.48,-69.36,-13.72,6.62
10,Nikolskoye,90,RU,1582092559,80,59.7,30.79,39.2,8.95
11,Salalah,20,OM,1582092560,64,17.02,54.09,75.2,3.36
12,Hobart,40,AU,1582092562,47,-42.88,147.33,63.0,20.8
13,Mount Isa,41,AU,1582092506,24,-20.73,139.5,102.2,14.99
14,Russell,90,US,1582092470,93,32.35,-85.2,64.4,5.73
15,East London,84,ZA,1582092109,94,-33.02,27.91,68.0,5.82
16,Klaksvik,95,FO,1582092534,93,62.23,-6.59,37.4,3.36
17,Longyearbyen,40,SJ,1582092525,60,78.22,15.64,5.0,18.34
18,Punta Arenas,75,CL,1582092498,70,-53.15,-70.92,46.4,23.04
19,Xichang,31,CN,1582092571,50,27.9,102.26,47.34,7.92
20,Miyoshi,75,JP,1582092573,36,35.08,137.07,55.0,17.22
21,Provideniya,40,RU,1582092368,77,64.38,-173.3,6.8,17.9
22,Mataura,70,NZ,1582092572,72,-46.19,168.86,60.01,10.0
23,Fortuna,1,US,1582092474,93,40.6,-124.16,39.99,1.86
24,Rikitea,1,PF,1582092508,78,-23.12,-134.97,78.85,14.81
25,Poya,0,NC,1582092580,83,-21.35,165.15,78.84,15.23
26,Sembe,91,CG,1582092581,88,1.65,14.58,70.92,2.04
27,Santa Isabel do Rio Negro,34,BR,1582092582,87,-0.41,-65.02,76.1,0.67
28,Cap Malheureux,20,MU,1582092508,65,-19.98,57.61,82.99,9.17
29,Port Alfred,11,ZA,1582092504,93,-33.59,26.89,68.0,1.99
30,Castro,100,BR,1582092586,98,-24.79,-50.01,65.62,0.63
31,Atuona,54,PF,1582092550,81,-9.8,-139.03,81.72,20.8
32,Cidreira,99,BR,1582092589,84,-30.18,-50.21,76.01,12.12
33,Ahipara,31,NZ,1582092591,100,-35.17,173.17,73.99,9.8
34,Flin Flon,0,CA,1582092592,94,54.77,-101.86,-14.37,5.7
35,Saint-Philippe,5,RE,1582092528,69,-21.36,55.77,84.2,24.16
36,Hong Kong,10,HK,1582092449,49,22.29,114.16,72.0,9.17
37,Carnarvon,100,AU,1582092525,70,-24.87,113.63,84.2,16.11
38,Port Hardy,5,CA,1582092597,86,50.7,-127.42,33.8,5.82
39,Junagarh,0,IN,1582092599,19,19.87,82.93,85.01,3.29
40,Derzhavinsk,100,KZ,1582092600,92,51.1,66.32,24.06,27.38
41,Faanui,100,PF,1582092561,77,-16.48,-151.75,82.74,14.43
42,Grindavik,75,IS,1582092604,79,63.84,-22.43,28.4,5.82
43,New Norfolk,40,AU,1582092562,47,-42.78,147.06,63.0,20.8
44,Tuktoyaktuk,75,CA,1582092569,77,69.45,-133.04,-2.2,12.75
45,Alugan,37,PH,1582092608,85,12.22,125.48,77.94,18.03
46,Esperance,100,AU,1582092551,34,-33.87,121.9,80.6,8.05
47,Juli,75,PE,1582092611,86,-16.22,-69.45,47.16,8.05
48,Airai,69,TL,1582092402,81,-8.93,125.41,76.82,2.98
49,Mumbwa,6,ZM,1582092615,91,-14.98,27.06,68.09,8.37
50,Srednekolymsk,84,RU,1582092617,100,67.45,153.68,-16.11,4.09
51,Kiama,40,AU,1582092619,36,-34.68,150.87,79.0,10.29
52,Chokurdakh,98,RU,1582092577,97,70.63,147.92,-5.76,8.66
53,Touros,40,BR,1582092532,94,-5.2,-35.46,77.0,3.36
54,Kampong Thom,0,KH,1582092549,25,12.71,104.89,95.59,12.41
55,Cape Town,0,ZA,1582092503,82,-33.93,18.42,73.0,8.05
56,Maceio,40,BR,1582092524,94,-9.67,-35.74,75.2,3.36
57,Upernavik,96,GL,1582092516,96,72.79,-56.15,-11.34,6.73
58,Kisarazu,75,JP,1582092629,33,35.37,139.92,57.0,9.17
59,Rosarito,90,MX,1582092632,93,32.33,-117.03,60.8,2.77
60,Banda Aceh,6,ID,1582092381,53,5.56,95.32,88.83,8.16
61,Usinsk,100,RU,1582092634,98,65.99,57.53,32.99,13.44
62,Medina,40,SA,1582092636,56,24.47,39.61,68.0,7.18
63,Narsaq,70,GL,1582092345,55,60.92,-46.05,10.4,4.7
64,Malpe,20,IN,1582092638,62,13.35,74.72,86.0,4.7
65,Nanortalik,67,GL,1582092492,59,60.14,-45.24,21.16,42.81
66,Leningradskiy,60,RU,1582092532,93,69.38,178.42,-19.08,13.8
67,Sechura,0,PE,1582092643,85,-5.56,-80.82,74.05,9.48
68,Hermanus,1,ZA,1582092502,86,-34.42,19.23,71.01,8.01
69,Chui,14,UY,1582092593,92,-33.7,-53.46,64.62,6.17
70,Denizli,0,TR,1582092647,69,37.84,29.07,32.0,1.19
71,Vuktyl,100,RU,1582092648,98,63.86,57.31,32.88,13.78
72,Hithadhoo,9,MV,1582092645,78,-0.6,73.08,83.34,13.09
73,Alyangula,74,AU,1582092351,62,-13.85,136.42,89.6,3.36
74,Barrow,90,US,1582092511,77,71.29,-156.79,-2.2,16.11
75,Morro Bay,1,US,1582092654,93,35.37,-120.85,52.0,4.7
76,Vao,6,NC,1582092656,75,-22.67,167.48,79.41,12.59
77,Kimberley,90,ZA,1582092657,94,-28.73,24.76,68.0,3.36
78,Havelock,90,US,1582092310,93,34.88,-76.9,60.01,4.7
79,Mallaig,0,CA,1582092660,98,54.22,-111.37,-12.68,9.66
80,Honiara,75,SB,1582092384,63,-9.43,159.95,91.4,13.87
81,Tessalit,17,ML,1582092392,19,20.2,1.01,63.55,14.07
82,Bredy,100,RU,1582092665,84,52.42,60.34,29.05,20.58
83,Sepolno Krajenskie,96,PL,1582092667,80,53.45,17.53,37.99,11.41
84,Alekseyevsk,95,RU,1582092668,84,57.84,108.35,12.69,2.35
85,Tiksi,100,RU,1582092504,87,71.69,128.87,-4.13,7.74
86,Bluff,9,NZ,1582092496,72,-46.6,168.33,60.01,10.0
87,Saldanha,0,ZA,1582092298,72,-33.01,17.94,64.4,1.12
88,Sinop,40,TR,1582092674,65,41.77,34.87,32.0,4.7
89,Prince Rupert,1,CA,1582092677,73,54.32,-130.32,35.6,5.82
90,Moose Factory,90,CA,1582092678,70,51.26,-80.61,-4.0,16.11
91,Yinchuan,0,CN,1582092680,19,38.47,106.27,43.03,2.66
92,Mimongo,40,GA,1582092681,95,-1.62,11.61,68.92,0.58
93,Puerto Ayora,2,EC,1582092633,88,-0.74,-90.35,77.09,7.38
94,Souillac,20,MU,1582092583,65,-20.52,57.52,82.99,9.17
95,Arraial do Cabo,48,BR,1582092551,86,-22.97,-42.03,77.45,27.11
96,Gimli,1,CA,1582092687,80,50.63,-96.99,-13.0,3.0
97,Auki,22,SB,1582092688,78,-8.77,160.7,83.88,19.75
98,Ponta Delgada,75,PT,1582092690,100,37.73,-25.67,57.2,10.29
99,Albany,90,US,1582092506,86,42.6,-73.97,39.2,11.41
100,Saint George,1,US,1582092388,58,37.1,-113.58,45.0,4.7
101,Unity,0,CA,1582092694,79,52.45,-109.17,-16.01,3.0
102,Namatanai,100,PG,1582092695,82,-3.67,152.43,79.88,7.02
103,San Patricio,0,MX,1582092365,76,19.22,-104.7,74.93,2.71
104,Torbay,75,CA,1582092698,72,47.67,-52.73,16.0,6.93
105,Moquegua,100,PE,1582092700,75,-17.2,-70.94,63.61,6.51
106,Hamilton,1,US,1582092553,81,39.18,-84.53,33.01,3.36
107,Khatanga,3,RU,1582092667,90,71.97,102.5,-6.93,4.79
108,Sinegorye,100,RU,1582092704,99,62.08,150.48,-10.62,3.31
109,Bredasdorp,90,ZA,1582092669,77,-34.53,20.04,70.0,11.41
110,Fairbanks,90,US,1582092332,85,64.84,-147.72,21.99,2.82
111,Yellowknife,75,CA,1582092485,76,62.46,-114.35,-7.01,14.99
112,Lebu,0,CL,1582092606,87,-37.62,-73.65,54.63,6.49
113,Umm Lajj,0,SA,1582092522,53,25.02,37.27,64.71,1.14
114,Alofi,23,NU,1582092545,74,-19.06,-169.92,80.6,8.05
115,Lujan,0,AR,1582092715,77,-34.57,-59.1,69.8,4.7
116,Tasiilaq,100,GL,1582092507,85,65.61,-37.64,21.2,28.86
117,Ostrovnoy,100,RU,1582092380,97,68.05,39.51,15.01,3.85
118,Nome,90,US,1582092498,85,64.5,-165.41,24.8,9.17
119,Salihorsk,16,BY,1582092720,90,52.79,27.54,33.33,10.18
120,Alexandria,40,EG,1582092523,71,31.22,29.96,57.2,9.17
121,Lagoa,56,PT,1582092666,80,39.05,-27.98,61.21,16.51
122,Korla,83,CN,1582092420,30,41.76,86.15,23.94,3.58
123,Bethel,90,US,1582092652,100,41.37,-73.41,43.0,3.36
124,Jaque,5,PA,1582092728,90,7.52,-78.17,72.63,5.35
125,Tocopilla,35,CL,1582092441,62,-22.09,-70.2,62.42,1.5
126,Manokwari,99,ID,1582092731,92,-0.87,134.08,73.65,11.21
127,Tecpan,58,GT,1582092733,72,14.76,-90.99,64.4,13.87
128,Vila Velha,75,BR,1582092488,94,-20.33,-40.29,77.0,3.36
129,Luderitz,70,NA,1582092617,96,-26.65,15.16,63.34,10.78
130,Carauari,99,BR,1582092738,98,-4.88,-66.9,73.85,0.87
131,Edson,1,CA,1582092739,84,53.58,-116.44,1.4,2.24
132,Tonj,50,SS,1582092741,18,7.27,28.68,82.11,4.21
133,Ribeira Grande,55,PT,1582092639,88,38.52,-28.7,57.16,11.14
134,Maragogi,41,BR,1582092664,74,-9.01,-35.22,80.96,12.33
135,Almondbank,12,GB,1582092745,81,56.42,-3.52,39.2,12.75
136,Constitucion,0,CL,1582092426,69,-35.33,-72.42,59.0,5.19
137,Fasa,40,IR,1582092748,26,28.94,53.65,51.8,2.01
138,Popondetta,84,PG,1582092749,72,-8.75,148.25,83.8,4.83
139,Quatre Cocos,20,MU,1582092648,65,-20.21,57.76,82.99,9.17
140,Praia da Vitoria,75,PT,1582092348,93,38.73,-27.07,55.4,15.12
141,Leoben,75,AT,1582092753,80,47.35,15.13,39.2,2.24
142,Ciudad Lazaro Cardenas,0,MX,1582092563,76,17.96,-102.2,70.59,3.06
143,Severo-Kuril'sk,100,RU,1582092594,87,50.68,156.12,17.46,7.14
144,Belem,100,BR,1582092462,100,-1.46,-48.5,75.2,2.24
145,Jamestown,90,US,1582092366,80,42.1,-79.24,33.01,4.7
146,Pevek,89,RU,1582092466,100,69.7,170.31,-25.58,1.32
147,Gambela,48,ET,1582092763,31,8.25,34.58,89.37,4.88
148,Menfi,24,IT,1582092764,87,37.61,12.97,52.0,3.36
149,Lavrentiya,100,RU,1582092692,81,65.58,-171.0,-4.7,6.85
150,Kenai,90,US,1582092501,100,60.55,-151.26,32.0,5.82
151,Sao Filipe,96,CV,1582092383,44,14.9,-24.5,77.65,17.18
152,Redmond,1,US,1582092770,69,47.67,-122.12,39.99,10.29
153,Warrington,40,GB,1582092772,80,53.39,-2.58,42.01,13.87
154,Kumul,100,CN,1582092520,52,42.8,93.45,27.61,1.12
155,Ust-Nera,98,RU,1582092369,100,64.57,143.2,-18.67,1.77
156,Harda,65,IN,1582092776,9,22.33,77.1,87.19,4.94
157,Jalu,0,LY,1582092778,74,29.03,21.55,51.31,6.42
158,Roanoke Rapids,90,US,1582092779,100,36.46,-77.65,55.99,6.69
159,Araouane,0,ML,1582092626,17,18.9,-3.53,67.59,10.09
160,Iqaluit,5,CA,1582092353,59,63.75,-68.51,-31.0,4.7
161,Teahupoo,40,PF,1582092783,70,-17.83,-149.27,84.2,8.05
162,Darab,63,IR,1582092784,18,28.75,54.54,67.44,0.43
163,Mar del Plata,0,AR,1582092582,100,-38.0,-57.56,57.99,4.7
164,Kormilovka,75,RU,1582092787,80,55.0,74.1,30.2,11.18
165,Svobodnyy,80,RU,1582092788,75,51.4,128.13,12.65,15.9
166,Bambous Virieux,20,MU,1582092579,65,-20.34,57.76,82.99,9.17
167,Umm Bab,20,QA,1582092792,73,25.21,50.81,79.0,5.82
168,Aklavik,20,CA,1582092793,67,68.22,-135.01,17.6,5.82
169,Vardo,75,NO,1582092382,78,70.37,31.11,15.8,14.99
170,Levice,0,SK,1582092797,92,48.22,18.61,35.01,2.24
171,Aborlan,75,PH,1582092799,59,9.44,118.55,89.6,23.04
172,Kaitangata,61,NZ,1582092520,69,-46.28,169.85,61.0,13.0
173,Tikapur,67,NP,1582092510,94,28.5,81.13,70.0,5.79
174,Laas,89,IT,1582092336,78,46.62,10.7,35.01,2.24
175,Thomasville,90,US,1582092804,100,35.88,-80.08,57.99,8.05
176,Baykit,96,RU,1582092806,86,61.67,96.37,17.82,8.34
177,Kodiak,1,US,1582092477,64,57.79,-152.41,33.8,11.41
178,Saskylakh,0,RU,1582092558,83,71.92,114.08,-8.05,8.16
179,Dataganj,56,IN,1582092810,38,28.03,79.4,71.65,6.2
180,Sulam,75,IL,1582092811,71,32.61,35.33,57.2,6.93
181,Isugod,100,PH,1582092813,77,9.34,118.12,81.28,21.47
182,Dikson,98,RU,1582092591,89,73.51,80.55,15.58,36.33
183,Clyde River,20,CA,1582092534,74,70.47,-68.59,-23.8,6.93
184,Svetlogorsk,36,BY,1582092784,90,52.63,29.73,33.98,9.69
185,Geraldton,100,AU,1582092596,33,-28.77,114.6,91.4,18.34
186,Okhotsk,9,RU,1582092522,81,59.38,143.3,1.36,6.4
187,Praia,81,CV,1582092761,36,14.92,-23.51,77.0,19.46
188,Yarmouth,90,US,1582092822,93,41.71,-70.23,48.2,8.05
189,Saint Stephen,100,GB,1582092824,81,50.33,-4.9,46.99,12.75
190,Saint-Pierre,0,RE,1582092647,69,-21.34,55.48,84.2,24.16
191,Portland,1,US,1582092440,45,45.52,-122.68,46.4,14.99
192,Cabo San Lucas,0,MX,1582092560,45,22.89,-109.91,68.0,6.6
193,Port Hawkesbury,90,CA,1582092622,92,45.62,-61.35,30.0,19.46
194,Asau,90,RO,1582092510,81,46.43,26.4,43.0,2.24
195,Krasnoarmeyskoye,100,RU,1582092832,96,52.72,50.03,33.64,16.96
196,Laredo,90,US,1582092833,88,27.51,-99.51,66.2,11.41
197,Bima,50,ID,1582092835,85,-8.47,118.72,81.46,2.51
198,Olafsvik,51,IS,1582092422,66,64.89,-23.71,32.16,11.59
199,Bilibino,9,RU,1582092582,100,68.05,166.44,-32.17,0.96
200,Itarema,100,BR,1582092577,93,-2.92,-39.92,75.07,2.44
201,Haernoesand,85,SE,1582092840,100,62.63,17.94,34.0,3.36
202,Mata,0,PT,1582092842,89,40.68,-7.46,37.0,3.0
203,Taltal,41,CL,1582092118,89,-25.4,-70.48,60.03,2.93
204,Visnes,81,NO,1582092844,93,59.36,5.22,37.99,12.75
205,Anloga,20,GH,1582092846,88,5.79,0.9,82.4,2.24
206,Coquimbo,0,CL,1582092363,87,-29.95,-71.34,59.0,4.7
207,Camabatela,100,AO,1582092848,97,-8.19,15.38,65.35,3.0
208,Shache,83,CN,1582092540,25,38.42,77.24,43.74,7.18
209,Cochrane,5,CA,1582092851,84,51.18,-114.47,10.0,4.7
210,Wangaratta,75,AU,1582092853,35,-36.37,146.33,73.4,20.8
211,Folldal,100,NO,1582092854,81,62.13,10.0,15.31,5.3
212,Krasnosel'kup,100,RU,1582092491,92,65.7,82.47,15.66,21.32
213,Padang,32,ID,1582092687,66,-0.95,100.35,82.17,1.21
214,Lashio,0,MM,1582092859,16,22.93,97.75,79.29,6.11
215,Aketi,100,CD,1582092860,94,2.74,23.78,69.08,2.73
216,Shimoda,75,JP,1582092601,61,34.67,138.95,51.8,8.05
217,Ancud,4,CL,1582092734,87,-41.87,-73.82,46.4,5.82
218,Oskarshamn,75,SE,1582092864,86,57.26,16.45,41.0,10.29
219,Hilo,90,US,1582092562,60,19.73,-155.09,75.2,5.82
220,Dingle,78,PH,1582092673,78,11.0,122.67,78.19,18.75
221,Thompson,5,CA,1582092598,69,55.74,-97.86,-11.2,10.29
222,Yatou,91,CN,1582092870,50,37.15,122.38,44.01,13.82
223,Atar,75,MR,1582092692,14,20.52,-13.05,71.06,11.01
224,Paeroa,46,NZ,1582092874,62,-37.37,175.67,80.01,5.99
225,Shubarkuduk,52,KZ,1582092875,79,49.14,56.49,25.2,16.31
226,Baruun-Urt,17,MN,1582092876,74,46.68,113.28,12.24,2.3
227,Great Yarmouth,0,GB,1582092878,82,52.61,1.73,37.99,14.99
228,Saint Anthony,1,US,1582092580,55,45.02,-93.22,6.8,11.41
229,Cayenne,75,GF,1582092500,69,4.93,-52.33,80.6,11.41
230,Sun Valley,1,US,1582092849,42,39.6,-119.78,35.01,4.7
231,Port Moresby,40,PG,1582092714,66,-9.44,147.18,91.4,20.8
232,Hermon,90,US,1582092885,92,44.81,-68.91,34.0,9.17
233,Tilichiki,89,RU,1582092886,92,60.47,166.1,-12.82,8.99
234,Norman Wells,40,CA,1582092666,70,65.28,-126.83,-2.2,8.05
235,Ystad,75,SE,1582092889,93,55.43,13.82,42.01,23.04
236,Andros Town,40,BS,1582092891,78,24.7,-77.77,77.0,13.87
237,Lamas,9,PE,1582092893,88,-6.42,-76.53,67.33,2.44
238,Kavieng,61,PG,1582092564,75,-2.57,150.8,83.73,10.25
239,Urmia,90,IR,1582092895,86,37.55,45.08,33.8,4.7
240,Banjar,20,ID,1582092899,79,-8.19,114.97,87.8,9.17
241,Los Llanos de Aridane,90,ES,1582092680,72,28.66,-17.92,64.4,12.75
242,Bar Harbor,90,US,1582092902,99,44.39,-68.2,35.01,1.23
243,Henties Bay,100,NA,1582092460,92,-22.12,14.28,63.0,4.32
244,Rio Tercero,0,AR,1582092905,41,-32.17,-64.11,61.09,4.36
245,Yar-Sale,35,RU,1582092486,91,66.83,70.83,23.5,13.11
246,Butaritari,17,KI,1582092500,77,3.07,172.79,84.11,18.52
247,Acapulco de Juarez,5,MX,1582092510,65,16.86,-99.89,78.8,2.24
248,Biscarrosse,40,FR,1582092912,87,44.39,-1.17,48.2,5.82
249,Makungu,49,TZ,1582092907,86,-8.73,35.28,66.99,1.36
250,Nouadhibou,0,MR,1582092504,72,20.93,-17.03,64.4,20.8
251,Kiili,90,EE,1582092918,80,59.31,24.84,41.0,13.87
252,Ulverstone,97,AU,1582092919,55,-41.15,146.17,66.0,3.0
253,Stornoway,21,GB,1582092920,70,58.21,-6.39,41.0,12.75
254,Luanda,75,AO,1582092403,88,-8.84,13.23,78.8,4.7
255,Porto Belo,100,BR,1582092923,83,-27.16,-48.55,82.4,5.82
256,Marawi,67,PH,1582092581,82,8.0,124.29,82.0,8.99
257,Margate,0,GB,1582092926,73,51.38,1.39,37.99,10.29
258,City of San Pedro,20,PH,1582092527,48,14.35,121.02,87.8,12.75
259,Guilin,75,CN,1582092930,39,25.28,110.29,62.6,2.24
260,Kahului,40,US,1582092403,83,20.89,-156.47,71.6,14.99
261,Santa Helena de Goias,100,BR,1582092891,98,-17.81,-50.6,67.66,6.91
262,Ziarat,0,PK,1582092934,49,30.38,67.73,40.82,20.94
263,Bulolo,100,PG,1582092935,47,-7.2,146.65,85.87,1.95
264,Caravelas,10,BR,1582092937,81,-17.71,-39.25,79.7,12.44
265,Marsh Harbour,65,BS,1582092313,81,26.54,-77.06,74.95,16.11
266,Meulaboh,95,ID,1582092939,80,4.14,96.13,80.15,8.93
267,Tromso,20,NO,1582092945,73,69.65,18.96,21.2,11.41
268,Shenzhen,10,CN,1582092793,49,22.55,114.07,72.0,9.17
269,Beyneu,0,KZ,1582092716,41,45.32,55.2,36.27,22.93
270,Naze,75,JP,1582092644,48,28.37,129.48,62.6,1.12
271,Ulladulla,40,AU,1582092950,36,-35.35,150.47,78.01,10.29
272,Hasanabad,0,IR,1582092952,80,36.55,61.05,39.2,6.93
273,Lanja,0,IN,1582092953,20,16.85,73.55,100.0,2.68
274,Neiafu,20,TO,1582092610,69,-18.65,-173.98,82.4,4.7
275,Egvekinot,0,RU,1582092424,93,66.32,-179.17,-16.17,13.42
