,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
276,Ariquemes,100,BR,1582092905,95,-9.91,-63.04,75.36,0.56
277,Batagay-Alyta,66,RU,1582092471,82,67.8,130.41,-8.39,4.85
278,Cedar City,1,US,1582092728,63,37.68,-113.06,26.6,3.36
279,Yulara,64,AU,1582092962,14,-25.24,130.99,95.0,13.87
280,Soyo,75,AO,1582092623,90,-6.13,12.37,78.93,4.09
281,Beringovskiy,90,RU,1582092711,82,63.05,179.32,-10.79,15.55
282,Port-Gentil,40,GA,1582092966,100,-0.72,8.78,78.8,5.46
283,Ossora,73,RU,1582092967,86,59.24,163.07,-5.91,9.33
284,Nchelenge,96,ZM,1582092969,91,-9.35,28.73,70.61,3.13
285,Novomyshastovskaya,0,RU,1582092970,86,45.2,38.58,41.0,4.47
286,Sitka,90,US,1582092542,60,57.05,-135.33,42.8,19.46
287,Killybegs,100,IE,1582092974,91,54.63,-8.45,39.99,8.99
288,Kirakira,67,SB,1582092977,82,-10.45,161.92,81.43,6.93
289,Hambantota,20,LK,1582092766,62,6.12,81.12,86.0,6.93
290,Taga,90,RO,1582092980,92,46.95,24.05,30.2,2.24
291,Korcula,40,HR,1582092981,61,42.96,17.14,46.4,2.24
292,Poum,1,NC,1582092982,79,-20.23,164.02,80.38,19.13
293,Faya,0,SA,1582092694,39,18.39,42.45,68.0,11.41
294,Katobu,98,ID,1582092467,66,-4.94,122.53,86.77,7.27
295,Bako,45,ET,1582092987,54,5.78,36.57,78.3,1.68
296,Juan de Ayolas,50,PY,1582092988,96,-27.4,-56.9,71.89,3.76
297,Hvide Sande,100,DK,1582092990,93,56.0,8.13,37.99,10.29
298,Katherine,26,AU,1582092991,47,-14.47,132.27,96.8,10.29
299,Lata,0,PT,1582092507,93,40.16,-8.33,46.0,2.24
300,Bengkulu,15,ID,1582092464,80,-3.8,102.27,83.44,4.7
301,Strezhevoy,75,RU,1582092995,92,60.73,77.59,30.2,11.18
302,Adrar,58,MR,1582092652,16,20.5,-10.07,67.35,9.62
303,Waddan,0,LY,1582092998,72,29.16,16.14,49.5,0.87
304,Campo Verde,40,BR,1582092895,83,-20.42,-54.07,75.2,9.17
305,Guerrero Negro,100,MX,1582092425,83,27.98,-114.06,60.3,11.97
306,Arrifes,75,PT,1582093002,100,37.77,-25.7,57.2,5.82
307,Igarka,100,RU,1582093003,90,67.47,86.58,10.85,22.55
308,Richards Bay,100,ZA,1582093005,90,-28.78,32.04,75.31,20.47
309,Cockburn Town,3,TC,1582092596,80,21.46,-71.14,78.01,26.04
310,Camargo,98,MX,1582093008,28,27.67,-105.17,64.94,9.28
311,George,90,ZA,1582092867,100,-33.96,22.46,64.4,3.36
312,Trinidad,86,BO,1582093011,92,-14.83,-64.9,76.93,2.08
313,El Alto,94,PE,1582093012,67,-4.27,-81.21,75.79,6.49
314,Port Blair,51,IN,1582092536,79,11.67,92.75,81.03,15.77
315,Bonthe,9,SL,1582093015,92,7.53,-12.51,75.85,5.39
316,Isla Mujeres,75,MX,1582093016,83,21.23,-86.73,78.8,8.05
317,Kapit,54,MY,1582092497,71,2.02,112.93,85.32,4.74
318,Thinadhoo,0,MV,1582092481,78,0.53,72.93,83.23,14.54
319,Yangjiang,39,CN,1582092429,52,21.85,111.97,64.99,5.5
320,Villarrica,61,PY,1582093022,93,-25.75,-56.43,73.9,2.3
321,Sharjah,4,AE,1582092971,56,25.36,55.4,75.2,3.36
322,Ponta do Sol,75,PT,1582092529,63,32.67,-17.1,60.8,18.34
323,Alice Springs,32,AU,1582092496,17,-23.7,133.88,91.4,12.75
324,Kruisfontein,3,ZA,1582093028,76,-34.0,24.73,69.24,6.85
325,Malanje,99,AO,1582093029,96,-9.54,16.34,67.24,1.97
326,Rio Grande,12,BR,1582093031,74,-32.03,-52.1,71.15,10.33
327,North Platte,90,US,1582093032,79,41.12,-100.77,24.8,11.41
328,Zwedru,45,LR,1582093033,99,6.07,-8.13,72.37,2.73
329,Laguna de Perlas,100,NI,1582093035,79,12.34,-83.67,81.48,21.43
330,Florence,75,IT,1582092878,100,43.77,11.25,46.0,3.36
331,Paracuru,40,BR,1582093038,83,-3.41,-39.03,80.6,4.7
332,Kutum,31,SD,1582092490,29,14.2,24.67,63.36,4.79
333,Chipinge,0,ZW,1582092603,76,-20.19,32.62,73.36,1.07
334,Broome,90,US,1582093043,69,42.25,-75.83,37.0,17.22
335,Bereda,20,ES,1582093044,100,43.27,-7.54,42.01,5.82
336,Hanzhong,0,CN,1582093046,31,33.07,107.03,58.68,3.78
337,Diamantino,99,BR,1582092463,94,-14.41,-56.45,74.26,2.17
338,Adiake,20,CI,1582093048,94,5.29,-3.3,82.4,1.12
339,Cabinda,60,AO,1582093050,82,-5.55,12.2,81.99,4.56
340,Ubari,0,LY,1582092757,70,26.59,12.78,46.06,4.63
341,Katsuura,75,JP,1582092590,52,35.13,140.3,55.0,9.17
342,Fort Nelson,5,CA,1582092863,84,58.81,-122.7,1.4,3.36
343,Muros,1,ES,1582093057,100,42.78,-9.06,48.0,2.13
344,Beidao,0,CN,1582093058,32,34.57,105.89,51.66,8.86
345,Det Udom,3,TH,1582093060,42,14.91,105.08,84.2,6.93
346,Karratha,4,AU,1582092735,62,-20.74,116.85,90.37,6.8
347,Khanbari,71,NP,1582093063,75,27.37,87.2,48.38,5.53
348,Tangzhai,100,CN,1582093064,44,34.43,116.59,55.0,6.24
349,Puerto Escondido,0,MX,1582093065,64,15.85,-97.07,70.93,4.41
350,Soe,77,ID,1582092491,77,-9.86,124.28,83.77,6.69
351,Departamento de Maldonado,40,UY,1582092760,77,-34.67,-54.92,69.8,11.41
352,Yerofey Pavlovich,44,RU,1582093069,63,53.97,121.97,15.06,5.64
353,Gourcy,0,BF,1582093071,18,13.22,-2.35,70.09,10.04
354,Yerbogachen,100,RU,1582093072,92,61.28,108.01,9.99,7.36
355,Taoudenni,84,ML,1582093045,17,22.68,-3.98,64.11,9.19
356,Werda,100,BW,1582093075,55,-25.27,23.28,75.54,16.4
357,Erenhot,11,CN,1582093076,70,43.65,111.98,21.45,3.11
358,Qasigiannguit,100,GL,1582093078,65,68.82,-51.19,5.0,5.82
359,Greenville,90,US,1582093079,93,35.61,-77.37,60.01,4.7
360,Sola,74,VU,1582093081,72,-13.88,167.55,83.8,4.5
361,Coyhaique,75,CL,1582093082,75,-45.58,-72.07,46.4,1.12
362,Sisimiut,100,GL,1582092502,99,66.94,-53.67,-2.72,1.05
363,Gaza,75,PS,1582092848,93,31.5,34.47,55.99,5.82
364,Zhalantun,0,CN,1582092535,65,48.0,122.72,20.39,5.41
365,Sam Roi Yot,20,TH,1582093088,52,12.27,99.87,87.8,16.11
366,Lanxi,37,CN,1582093089,8,29.22,119.48,59.0,4.68
367,Vidim,100,RU,1582093091,91,56.41,103.11,16.57,5.41
368,Labuhan,100,ID,1582092620,79,-6.88,112.21,83.44,9.26
369,Woodward,1,US,1582093059,54,36.43,-99.39,33.01,3.36
370,Narrabri,36,AU,1582093095,30,-30.32,149.78,84.2,12.75
371,Alta Floresta,85,BR,1582093097,93,-9.88,-56.09,72.27,1.48
372,Amravati,42,IN,1582093099,9,20.93,77.75,85.59,7.49
373,Benguela,100,AO,1582092818,84,-12.58,13.41,78.12,1.16
374,Hobyo,44,SO,1582093101,64,5.35,48.53,82.04,15.75
375,Thurso,81,GB,1582093104,93,58.59,-3.53,42.8,21.92
376,Burnie,97,AU,1582092786,66,-41.07,145.92,64.99,11.01
377,Bose,10,IT,1582093107,64,45.46,8.01,42.01,6.93
378,Ternate,97,ID,1582092724,74,0.8,127.4,80.64,4.21
379,Puro,92,PH,1582092685,75,12.48,123.38,79.03,15.57
380,Hasaki,75,JP,1582092655,40,35.73,140.83,55.0,2.24
381,Arrondissement de Saint-Denis,20,FR,1582093113,86,48.92,2.33,42.01,10.29
382,Dunedin,96,NZ,1582092823,70,-45.87,170.5,61.0,5.23
383,Bathsheba,75,BB,1582093116,83,13.22,-59.52,77.0,17.22
384,Sungaipenuh,100,ID,1582093117,71,-2.08,101.38,74.71,3.38
385,Mingshui,100,CN,1582093118,27,36.72,117.5,60.01,3.0
386,Yuncheng,50,CN,1582093103,16,35.02,110.99,56.93,0.98
387,Lorengau,45,PG,1582092748,77,-2.02,147.27,84.0,16.44
388,Matay,22,EG,1582093122,75,28.42,30.78,52.03,6.82
389,Mandan,90,US,1582093088,64,46.83,-100.89,-2.2,5.82
390,Sorland,40,NO,1582093126,74,67.67,12.69,28.4,9.17
391,Hwange,39,ZW,1582093127,87,-18.37,26.5,71.26,5.46
392,Paamiut,91,GL,1582092731,70,61.99,-49.67,6.96,9.71
393,Julfa,90,AZ,1582093130,85,38.96,45.63,33.8,4.7
394,Ust'-Kulom,100,RU,1582093131,98,61.69,53.69,33.1,10.2
395,Boa Vista,0,BR,1582092838,69,2.82,-60.67,78.8,8.05
396,Amudat,12,UG,1582093134,47,1.95,34.95,76.41,6.11
397,Wynyard,49,AU,1582093135,66,-41.0,145.72,64.99,11.01
398,Yankton,90,US,1582093137,85,42.87,-97.4,12.2,12.75
399,Mahebourg,20,MU,1582092645,65,-20.41,57.7,82.99,9.17
400,Santa Cruz Cabralia,40,BR,1582093140,83,-16.28,-39.02,78.8,6.93
401,Port Elizabeth,43,ZA,1582092399,93,-33.92,25.57,66.2,10.29
402,Oparino,100,RU,1582093144,98,59.85,48.28,32.9,8.81
403,Salinopolis,100,BR,1582093145,82,-0.61,-47.36,80.51,19.26
404,Makakilo City,90,US,1582093147,83,21.35,-158.09,73.4,6.93
405,Ilulissat,100,GL,1582092699,65,69.22,-51.1,5.0,5.82
406,Iraray,100,PH,1582093150,66,8.99,118.05,83.19,16.46
407,Chapais,90,CA,1582093061,85,49.78,-74.85,12.2,11.41
408,Samarai,91,PG,1582093152,53,-10.62,150.67,88.74,3.58
409,Sainte-Suzanne,75,RE,1582093154,62,-20.91,55.61,86.0,14.99
410,Krasnyye Baki,100,RU,1582093155,96,57.13,45.16,34.03,9.04
411,Zhuhai,8,CN,1582093159,59,22.28,113.57,72.0,9.17
412,Saint-Augustin,83,CA,1582093161,83,51.23,-58.65,19.36,13.2
413,Wicklow,75,IE,1582093162,86,53.0,-6.42,41.0,16.11
414,Kulhudhuffushi,13,MV,1582092370,69,6.62,73.07,81.95,12.97
415,Esim,30,GH,1582093165,94,4.87,-2.24,75.96,2.1
416,Pangkalanbuun,98,ID,1582093166,44,-2.68,111.62,93.97,4.03
417,Mayumba,26,GA,1582092780,84,-3.43,10.66,81.32,9.26
418,Jose Bonifacio,40,BR,1582093169,78,-21.05,-49.69,77.0,3.36
419,Pailon,90,BO,1582093171,100,-17.65,-62.75,71.6,9.17
420,Sao Joao da Barra,0,BR,1582093172,88,-21.64,-41.05,75.79,12.95
421,Mkwanga,40,TZ,1582093173,88,-7.12,39.21,80.6,2.13
422,Zhezkazgan,90,KZ,1582093175,85,47.8,67.71,15.8,11.18
423,Harrisburg,90,US,1582092918,87,40.27,-76.88,46.99,6.93
424,Peniche,0,PT,1582093178,100,39.36,-9.38,50.0,2.24
425,Takoradze,30,GH,1582093179,94,4.88,-1.76,75.96,2.1
426,Tomatlan,0,MX,1582093181,86,19.93,-105.25,67.32,1.68
427,Sao Felix do Xingu,100,BR,1582092627,98,-6.64,-51.99,71.78,1.9
428,Ambon,20,ID,1582093072,83,-3.7,128.18,80.6,6.93
429,Talnakh,20,RU,1582093185,85,69.49,88.4,10.4,35.79
430,La Ronge,5,CA,1582093186,75,55.1,-105.28,-18.4,2.24
431,Lesnyye Polyany,90,RU,1582093187,86,55.97,37.87,39.0,15.66
432,Bosaso,20,SO,1582093189,73,11.28,49.18,77.0,11.41
433,Matamoros,36,MX,1582093088,44,25.53,-103.25,68.0,17.45
434,Kampene,100,CD,1582093192,96,-3.6,26.67,71.46,1.05
435,Arona,20,ES,1582093193,67,28.1,-16.68,64.0,20.8
436,Price,1,US,1582093195,57,39.6,-110.81,25.0,9.17
437,Imeni Poliny Osipenko,100,RU,1582093196,85,52.42,136.49,10.92,3.33
438,Pisco,40,PE,1582092622,78,-13.7,-76.22,77.0,3.36
439,Evensk,2,RU,1582093199,70,61.95,159.23,-7.91,10.94
440,Haines Junction,86,CA,1582092744,95,60.75,-137.51,16.02,8.34
441,Inuvik,20,CA,1582092917,67,68.35,-133.72,17.6,5.82
442,Lensk,17,RU,1582093203,85,60.73,114.93,9.05,6.06
443,Kavaratti,20,IN,1582092746,74,10.57,72.64,84.2,4.7
444,Atambua,71,ID,1582093206,78,-9.11,124.89,82.17,6.78
445,Turukhansk,100,RU,1582092744,89,65.82,87.98,13.21,16.6
446,Aksarka,57,RU,1582093209,88,66.56,67.8,27.05,14.36
447,Thibodaux,90,US,1582093210,100,29.8,-90.82,71.6,6.85
448,Sao Borja,94,BR,1582093212,84,-28.66,-56.0,71.67,4.97
449,Quelimane,40,MZ,1582093213,83,-17.88,36.89,84.2,8.05
450,Tautira,40,PF,1582093214,74,-17.73,-149.15,82.4,9.17
451,Te Anau,67,NZ,1582093216,71,-45.42,167.72,58.01,4.79
452,Inhambane,40,MZ,1582093219,74,-23.86,35.38,86.0,4.7
453,Sovetskiy,9,RU,1582093145,86,61.36,63.58,29.82,11.18
454,Coahuayana Viejo,0,MX,1582092635,39,18.73,-103.68,70.95,3.98
455,Obo,84,CF,1582093223,77,5.4,26.49,74.46,5.32
456,Loreto,0,MX,1582093225,31,22.27,-101.97,65.7,7.11
457,Kumbo,50,CM,1582093226,29,6.2,10.67,63.41,3.58
458,Biak,92,ID,1582092704,65,-0.91,122.88,86.95,9.37
459,Glinka,66,RU,1582093229,92,54.64,32.88,34.45,13.94
460,Kopavogur,75,IS,1582093230,92,64.11,-21.91,28.4,10.51
461,Pangnirtung,100,CA,1582092663,96,66.15,-65.71,-30.26,2.51
462,Kidal,0,ML,1582093233,21,18.44,1.41,63.54,14.16
463,Tiznit,65,MA,1582093234,29,29.58,-9.5,58.12,2.71
464,Kuytun,100,RU,1582092672,91,54.34,101.5,16.5,2.01
465,Urozhaynoye,0,RU,1582093237,80,44.79,44.92,38.95,6.29
466,Ereymentau,100,KZ,1582093238,94,51.62,73.1,22.89,25.77
467,Tura,0,IN,1582093240,24,25.52,90.22,84.47,4.54
468,Jiexiu,49,CN,1582093241,25,37.02,111.91,44.15,4.23
469,Rome,90,US,1582092582,64,43.21,-75.46,37.99,13.87
470,Huarmey,92,PE,1582093244,76,-10.07,-78.15,72.7,3.15
471,Mossamedes,97,AO,1582093245,69,-15.2,12.15,74.7,8.37
472,Great Falls,1,US,1582093247,92,47.5,-111.3,6.8,5.82
473,Mackay,34,AU,1582093248,66,-21.15,149.2,90.0,10.29
474,Vung Tau,0,VN,1582093250,52,10.35,107.08,83.19,14.32
475,Zarubino,0,RU,1582093251,64,42.63,131.09,31.69,14.76
476,Robertson,90,US,1582093254,86,36.52,-86.87,42.8,9.17
477,Maues,84,BR,1582093209,91,-3.38,-57.72,74.98,1.52
478,Cherskiy,93,RU,1582093257,98,68.75,161.3,-25.11,5.97
479,Boden,98,SE,1582093258,92,65.83,21.69,26.6,12.75
480,Buin,0,CL,1582093259,42,-33.73,-70.75,70.0,3.36
481,Trebisov,48,SK,1582093261,86,48.63,21.72,32.0,1.12
482,Virginia Beach,90,US,1582093262,93,36.85,-75.98,59.0,3.36
483,San Fernando del Valle de Catamarca,25,AR,1582093264,93,-28.47,-65.79,55.99,0.78
484,Hualmay,100,PE,1582093265,79,-11.1,-77.61,71.94,2.98
485,Porangatu,99,BR,1582092667,93,-13.44,-49.15,71.58,3.27
486,Santa Marta,25,CO,1582093268,72,11.24,-74.2,65.52,7.72
487,Bodden Town,0,KY,1582093269,88,19.28,-81.25,77.0,1.99
488,Kaeo,34,NZ,1582093271,100,-35.1,173.78,73.99,6.76
489,Tarko-Sale,100,RU,1582093272,88,64.92,77.78,26.01,1.99
490,Puerto Madryn,73,AR,1582093150,25,-42.77,-65.04,60.75,17.22
491,Juba,83,SS,1582093275,44,4.85,31.58,86.0,3.69
492,Abu Kamal,100,SY,1582093276,78,34.45,40.92,57.47,10.76
493,Murygino,100,RU,1582093279,99,58.74,49.46,33.3,10.83
494,Qaqortoq,17,GL,1582093281,56,60.72,-46.03,12.2,6.93
495,Coffs Harbour,40,AU,1582092753,70,-30.3,153.13,96.8,5.82
496,Tezu,6,IN,1582093283,32,27.92,96.17,77.25,4.16
497,Kovdor,99,RU,1582093285,96,67.57,30.48,12.92,5.19
498,Kawalu,68,ID,1582093286,72,-7.38,108.21,80.76,3.22
499,Nybro,40,SE,1582093288,86,56.74,15.91,41.0,9.17
500,Sinnamary,73,GF,1582093289,76,5.38,-52.95,78.42,19.6
501,Westport,90,US,1582093290,93,41.14,-73.36,46.0,3.36
502,Alihe,15,CN,1582093292,54,50.57,123.72,17.46,7.9
503,Lethem,2,GY,1582093293,64,3.38,-59.8,77.45,11.74
504,Orocue,82,CO,1582093294,77,4.79,-71.34,79.09,3.02
505,Bambanglipuro,91,ID,1582093296,76,-7.95,110.28,80.04,5.99
506,Kihei,40,US,1582093160,78,20.79,-156.47,71.6,17.22
507,Camocim,100,BR,1582092763,98,-2.9,-40.84,73.96,3.18
508,Vanimo,87,PG,1582093300,90,-2.67,141.3,77.74,26.57
509,Pokhara,0,NP,1582093275,38,28.23,83.98,75.11,3.69
510,Marysville,1,US,1582093303,92,48.05,-122.18,39.99,1.74
511,Muroto,20,JP,1582093304,66,33.28,134.15,51.8,8.05
512,Kuznetsk,100,RU,1582093172,98,53.12,46.6,32.23,10.83
513,Darhan,18,MN,1582093307,77,49.49,105.92,13.69,2.1
514,Roald,75,NO,1582093310,93,62.58,6.13,37.99,16.11
515,Flinders,40,AU,1582093313,36,-34.58,150.86,81.0,16.11
516,Kutina,22,HR,1582093314,71,45.48,16.78,35.6,3.36
517,Utamysh,0,RU,1582093315,75,42.41,47.75,41.0,6.71
518,Kloulklubed,75,PW,1582093317,74,7.04,134.26,82.4,10.29
519,Sambava,21,MG,1582093320,58,-14.27,50.17,86.11,2.71
520,Nishihara,75,JP,1582093321,45,26.18,127.76,66.2,11.41
521,Minsk,73,BY,1582093323,93,53.9,27.57,35.6,11.18
522,Vestmannaeyjar,100,IS,1582093324,48,63.44,-20.27,37.44,10.27
523,Bedele,66,ET,1582093326,56,8.46,36.35,73.29,2.51
524,Tazovsky,100,RU,1582093327,92,67.47,78.7,18.75,18.52
525,Humberto de Campos,100,BR,1582093328,92,-2.6,-43.46,77.41,5.41
526,Yafran,0,LY,1582093330,84,32.06,12.53,43.66,5.39
527,Ola,0,RU,1582093331,76,59.58,151.28,-0.11,3.69
528,Samana,23,DO,1582093333,95,19.21,-69.34,69.37,3.85
529,Gawler,20,AU,1582093334,35,-34.6,138.73,71.6,16.11
530,Brae,80,GB,1582093336,100,60.4,-1.35,42.8,1.12
531,Amapa,82,BR,1582093337,98,1.0,-52.0,70.81,3.31
532,Kamaishi,75,JP,1582093340,48,39.27,141.88,39.2,12.75
533,Peremyshlyany,9,UA,1582093341,84,49.67,24.56,32.0,4.47
534,Manjacaze,3,MZ,1582093343,71,-24.71,33.88,82.24,6.55
535,Buala,24,SB,1582093344,78,-8.14,159.59,83.03,8.48
536,Noumea,75,NC,1582093346,58,-22.28,166.46,86.0,17.22
537,Bathurst,0,AU,1582093207,44,-33.42,149.58,71.01,5.99
538,Victor Harbor,20,AU,1582093349,35,-35.57,138.62,71.6,16.11
539,Mawlaik,0,MM,1582093351,21,23.63,94.42,88.27,2.44
540,Liverpool,20,GB,1582093098,80,53.41,-2.98,42.01,10.29
541,Tiarei,40,PF,1582093353,74,-17.53,-149.33,82.4,9.17
542,Pemangkat,20,ID,1582093355,79,1.17,108.97,83.73,11.18
543,Luebo,56,CD,1582093356,97,-5.35,21.42,71.24,0.54
544,Aitape,62,PG,1582093288,83,-3.14,142.35,80.69,28.74
545,Nerchinskiy Zavod,17,RU,1582093359,66,51.31,119.61,15.48,3.42
546,Vitim,68,RU,1582093360,87,59.45,112.56,9.54,3.76
547,Gemeente Heerenveen,75,NL,1582093362,75,52.95,5.93,43.0,20.8
548,Pacific Grove,1,US,1582093363,71,36.62,-121.92,51.8,4.7
549,Hyeres,1,FR,1582093365,43,43.12,6.12,51.01,8.05
550,Charters Towers,11,AU,1582093366,37,-20.1,146.27,96.01,10.27
551,Zhovti Vody,96,UA,1582093368,100,48.35,33.5,33.8,8.28
552,Carutapera,100,BR,1582092778,84,-1.2,-46.02,80.65,18.79
